study_accession	n_runs	reference	run_accession	checked_runs	library_layout
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549264	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549265	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549266	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549267	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549268	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549269	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549270	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549271	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549272	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549273	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549274	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549275	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549276	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549277	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549278	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549279	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549280	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549281	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549282	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549283	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549284	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549285	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549286	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549287	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549288	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549289	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549290	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549291	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549292	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549293	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549294	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549295	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549296	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549297	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549298	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549299	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549300	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549301	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549302	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549303	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549304	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549305	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549306	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549307	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549308	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549309	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549310	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549311	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549312	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549313	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549314	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549315	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549316	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549317	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549318	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549319	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549320	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549321	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549322	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549323	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549324	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549325	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549326	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549327	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549328	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549329	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549330	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549331	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549332	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549333	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549334	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549335	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549336	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549337	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549338	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549339	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549340	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549341	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549342	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549343	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549344	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549345	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549346	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549347	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549348	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549349	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549350	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549351	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549352	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549353	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549354	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549355	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549356	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549357	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549358	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549359	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549360	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549361	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549362	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549363	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549364	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549365	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549366	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549367	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549368	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549369	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549370	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549371	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549372	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549373	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549374	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549375	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549376	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549377	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549378	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549379	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549380	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549381	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549382	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549383	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549384	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549385	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549386	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549387	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549388	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549389	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549390	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549391	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549392	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549393	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549394	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549395	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549396	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549397	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549398	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549399	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549400	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549401	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549402	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549403	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549404	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549405	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549406	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549407	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549408	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549409	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549410	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549411	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549412	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549413	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549414	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549415	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549416	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549417	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549418	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549419	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549420	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549421	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549422	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549423	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549424	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549425	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549426	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549427	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549428	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549429	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549430	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549431	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549432	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549433	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549434	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549435	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549436	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549437	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549438	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549439	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549440	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549441	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549442	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549443	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549444	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549445	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549446	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549447	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549448	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549449	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549450	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549451	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549452	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549453	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549454	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549455	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549456	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549457	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549458	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549459	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549460	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549461	yes	single
SRP045488	374	"(Maier, 2015, 10.1101/gr.184101.114);(Gish, 2016, 10.1128/mBio.00313-16)"	SRR1549462	yes	single
